zip_path,relative_path,is_directory,length,last_write_time_utc
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/730712880.jpg","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/730712880.jpg",False,7422,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/1977252806.jpg","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/1977252806.jpg",False,21155,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/238186600.jpg","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/238186600.jpg",False,12389,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/1699433284.jpg","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/1699433284.jpg",False,3271,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/1734150088.jpg","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/1734150088.jpg",False,5221,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/283184613.jpg","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/283184613.jpg",False,6745,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/330613816.jpg","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/330613816.jpg",False,4284,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/585661361.jpg","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/585661361.jpg",False,8875,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/1230021629.jpg","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/1230021629.jpg",False,7330,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/627767262.jpg","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/627767262.jpg",False,8875,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/794863692.jpg","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/794863692.jpg",False,14363,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/854131082.png","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/854131082.png",False,31247,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/384144100.jpg","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/384144100.jpg",False,7001,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/876716117.jpg","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/876716117.jpg",False,14363,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/thumbs/685228460.jpg","uploads/9/1/6/0/91600416/background-images/background-images/thumbs/685228460.jpg",False,4883,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/background-images/background-images/854131082.png","uploads/9/1/6/0/91600416/background-images/background-images/854131082.png",False,2098603,2026-02-21T18:36:00.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/alius_flyer_2.png","uploads/9/1/6/0/91600416/alius_flyer_2.png",False,2767942,2026-02-21T18:43:02.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/alius_workshop_2017_-_flyer_3.pdf","uploads/9/1/6/0/91600416/alius_workshop_2017_-_flyer_3.pdf",False,895365,2026-02-21T18:43:02.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/bulletin03-bayneinterview_1.pdf","uploads/9/1/6/0/91600416/bulletin03-bayneinterview_1.pdf",False,124377,2026-02-21T18:43:02.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/thedimensionsofconsciousness_ocarter_ready.pdf","uploads/9/1/6/0/91600416/thedimensionsofconsciousness_ocarter_ready.pdf",False,285210,2026-02-21T18:36:02.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/alius-eventbanner-template-jc-nr11_orig.gif","uploads/9/1/6/0/91600416/alius-eventbanner-template-jc-nr11_orig.gif",False,276318,2026-02-21T18:38:50.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/buchborn-tobias_orig.jpg","uploads/9/1/6/0/91600416/buchborn-tobias_orig.jpg",False,7526,2026-02-21T18:36:02.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/csm-tzvetan-050560ecaf_1.jpg","uploads/9/1/6/0/91600416/csm-tzvetan-050560ecaf_1.jpg",False,99624,2026-02-21T18:43:02.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/293757246-10217187236033323-3017171785644245039-n-orig_2.jpg","uploads/9/1/6/0/91600416/293757246-10217187236033323-3017171785644245039-n-orig_2.jpg",False,109556,2026-02-21T18:43:02.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/lurhmann_-_the_anthropology_of_mind_1.pdf","uploads/9/1/6/0/91600416/lurhmann_-_the_anthropology_of_mind_1.pdf",False,228294,2026-02-21T18:40:42.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/mccarthy-jones_-_the_phenomenon_of_voice_hearing_1.pdf","uploads/9/1/6/0/91600416/mccarthy-jones_-_the_phenomenon_of_voice_hearing_1.pdf",False,183890,2026-02-21T18:40:24.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/carhart-harris_-_psychedelics_and_consciousness_1.pdf","uploads/9/1/6/0/91600416/carhart-harris_-_psychedelics_and_consciousness_1.pdf",False,283960,2026-02-21T18:42:54.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/seligman_-_towards_a_biocultural_approach_of_dissociative_consciousness_1.pdf","uploads/9/1/6/0/91600416/seligman_-_towards_a_biocultural_approach_of_dissociative_consciousness_1.pdf",False,145677,2026-02-21T18:36:04.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/hohwy_-_on_different_ways_of_being_conscious_1.pdf","uploads/9/1/6/0/91600416/hohwy_-_on_different_ways_of_being_conscious_1.pdf",False,150068,2026-02-21T18:40:42.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/foto-juan-60_2.jpg","uploads/9/1/6/0/91600416/foto-juan-60_2.jpg",False,61586,2026-02-21T18:36:08.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/pxl-20220516-153551509_2.jpg","uploads/9/1/6/0/91600416/pxl-20220516-153551509_2.jpg",False,217596,2026-02-21T18:36:10.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/timo-schmidt_5.jpg","uploads/9/1/6/0/91600416/timo-schmidt_5.jpg",False,31015,2026-02-21T18:36:12.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/50720462-10156998651687436-9135200687594930176-n_1.jpg","uploads/9/1/6/0/91600416/50720462-10156998651687436-9135200687594930176-n_1.jpg",False,68876,2026-02-21T18:36:14.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/picture1_2.jpg","uploads/9/1/6/0/91600416/picture1_2.jpg",False,32552,2026-02-21T18:36:14.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/img-1590_4.jpg","uploads/9/1/6/0/91600416/img-1590_4.jpg",False,97878,2026-02-21T18:36:18.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/240321-dm-charlottemartial-140-photoroom1_2.jpg","uploads/9/1/6/0/91600416/240321-dm-charlottemartial-140-photoroom1_2.jpg",False,56162,2026-02-21T18:36:20.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/img-2388_8.jpeg","uploads/9/1/6/0/91600416/img-2388_8.jpeg",False,45738,2026-02-21T18:40:26.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/portrait-1-format-carre-4-jpg-1-orig_1.png","uploads/9/1/6/0/91600416/portrait-1-format-carre-4-jpg-1-orig_1.png",False,110365,2026-02-21T18:36:22.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/rebeccaseligman-168_6.jpg","uploads/9/1/6/0/91600416/rebeccaseligman-168_6.jpg",False,11560,2026-02-21T18:36:22.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/bf2219f7-6fae-4142-a471-48f13ae4193a-1-201-a_2.jpeg","uploads/9/1/6/0/91600416/bf2219f7-6fae-4142-a471-48f13ae4193a-1-201-a_2.jpeg",False,154493,2026-02-21T18:36:22.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/bucci-7_2.jpg","uploads/9/1/6/0/91600416/bucci-7_2.jpg",False,9692,2026-02-21T18:36:22.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/1516895618013-2_5.jpeg","uploads/9/1/6/0/91600416/1516895618013-2_5.jpeg",False,10405,2026-02-21T18:36:24.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/94518046-542038530053425-7176690141715496960-n_1.jpg","uploads/9/1/6/0/91600416/94518046-542038530053425-7176690141715496960-n_1.jpg",False,70211,2026-02-21T18:36:24.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/293757246-10217187236033323-3017171785644245039-n_2.jpg","uploads/9/1/6/0/91600416/293757246-10217187236033323-3017171785644245039-n_2.jpg",False,109556,2026-02-21T18:36:24.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/portrait-1-format-carre-4-jpg_2_orig.png","uploads/9/1/6/0/91600416/portrait-1-format-carre-4-jpg_2_orig.png",False,110415,2026-02-21T18:42:46.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/portrait-1-format-carre-4-jpg_2.png","uploads/9/1/6/0/91600416/portrait-1-format-carre-4-jpg_2.png",False,110415,2026-02-21T18:42:42.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/13901414-548004405402938-2065548624124371185-n_2_orig.jpg","uploads/9/1/6/0/91600416/13901414-548004405402938-2065548624124371185-n_2_orig.jpg",False,20300,2026-02-21T18:42:46.0000000Z
"1054327522699a091f1fb90/uploads/9/1/6/0/91600416/13901414-548004405402938-2065548624124371185-n_2.jpg","uploads/9/1/6/0/91600416/13901414-548004405402938-2065548624124371185-n_2.jpg",False,20300,2026-02-21T18:42:42.0000000Z
