"legacy_path","canonical_path","hash","bytes","kind","replacement_type","poster_path","video_webm_path","video_mp4_path","backup_path","preserve_original_in_repo","referenced","included_in_live_site"
"uploads/9/1/6/0/91600416/photo-lena-coutrot-orig_17.jpg","/media/images/photo-lena-coutrot-orig-3.jpg","A119439302A58254C5602952EDDA0F4FE1A96C76E9B9426183E1BE8F314E15DD","60755","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/photo-lena-coutrot-orig_3.jpg","/media/images/photo-lena-coutrot-orig-3.jpg","A119439302A58254C5602952EDDA0F4FE1A96C76E9B9426183E1BE8F314E15DD","60755","image","same","","","","","False","True","True"
"uploads/9/1/6/0/91600416/photo-lena-coutrot-orig_4.jpg","/media/images/photo-lena-coutrot-orig-3.jpg","A119439302A58254C5602952EDDA0F4FE1A96C76E9B9426183E1BE8F314E15DD","60755","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/photo-lena-coutrot-orig_5.jpg","/media/images/photo-lena-coutrot-orig-3.jpg","A119439302A58254C5602952EDDA0F4FE1A96C76E9B9426183E1BE8F314E15DD","60755","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/photo-lena-coutrot-orig_6.jpg","/media/images/photo-lena-coutrot-orig-3.jpg","A119439302A58254C5602952EDDA0F4FE1A96C76E9B9426183E1BE8F314E15DD","60755","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/photo-lena-coutrot-orig_7.jpg","/media/images/photo-lena-coutrot-orig-3.jpg","A119439302A58254C5602952EDDA0F4FE1A96C76E9B9426183E1BE8F314E15DD","60755","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/photo-lena-coutrot-orig_orig.jpg","/media/images/photo-lena-coutrot-orig-3.jpg","A119439302A58254C5602952EDDA0F4FE1A96C76E9B9426183E1BE8F314E15DD","60755","image","deduped","","","","","False","False","True"
"uploads/9/1/6/0/91600416/photo-romy-circle_1.png","/media/images/photo-romy-circle-2.png","897E792FA98CD483F0F0AB2B115F82EA3D75D989FA61DF11B1F7394EB35A3A85","891444","image","deduped","","","","","False","False","True"
"uploads/9/1/6/0/91600416/photo-romy-circle_2.png","/media/images/photo-romy-circle-2.png","897E792FA98CD483F0F0AB2B115F82EA3D75D989FA61DF11B1F7394EB35A3A85","891444","image","same","","","","","False","True","True"
"uploads/9/1/6/0/91600416/photo-romy-circle_orig.png","/media/images/photo-romy-circle-2.png","897E792FA98CD483F0F0AB2B115F82EA3D75D989FA61DF11B1F7394EB35A3A85","891444","image","deduped","","","","","False","False","True"
"uploads/9/1/6/0/91600416/physical-effort-plot_orig.png","","BFB12A879CE98E7B07BA3A2F3C009C74727A7150A3DAF068342B11AEA7C70684","304026","image","excluded-unreferenced","","","","","False","False","False"
"uploads/9/1/6/0/91600416/physiopheno2_orig.png","/media/images/physiopheno3-orig.png","7DA359F342A010EAEE66831D03A4B178AD82D3DA66177416815AD2BFB1B7D09C","51465","image","deduped","","","","","False","False","True"
"uploads/9/1/6/0/91600416/physiopheno3_orig.png","/media/images/physiopheno3-orig.png","7DA359F342A010EAEE66831D03A4B178AD82D3DA66177416815AD2BFB1B7D09C","51465","image","same","","","","","False","True","True"
"uploads/9/1/6/0/91600416/physiophenomenology_orig.png","","DFF0B4FFE7E3BE4C964E0E045BFD11BB16826F6529980030A3E0336B27080854","73093","image","excluded-unreferenced","","","","","False","False","False"
"uploads/9/1/6/0/91600416/physiophenomenology5_orig.png","","E50AF2B2A74AC05BCD7E91FA83DF88CAC24A912912BF325C03E96420C5A1B41E","69734","image","excluded-unreferenced","","","","","False","False","False"
"uploads/9/1/6/0/91600416/pic6_orig.jpg","","4A82260AB3DDB447A0704E09EC52CFFBA622A26D0847A1AE32BECDA650A10648","80360","image","excluded-unreferenced","","","","","False","False","False"
"uploads/9/1/6/0/91600416/picture1_1.jpg","/media/images/picture1-1.jpg","58E4B7B3FBF895075C820F0F4B6FAF8A833E264281632146310A587A4A431F6B","32552","image","same","","","","","False","True","True"
"uploads/9/1/6/0/91600416/picture1_11.jpg","/media/images/picture1-1.jpg","58E4B7B3FBF895075C820F0F4B6FAF8A833E264281632146310A587A4A431F6B","32552","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/picture1_13.jpg","/media/images/picture1-1.jpg","58E4B7B3FBF895075C820F0F4B6FAF8A833E264281632146310A587A4A431F6B","32552","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/picture1_2.jpg","/media/images/picture1-1.jpg","58E4B7B3FBF895075C820F0F4B6FAF8A833E264281632146310A587A4A431F6B","32552","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/picture1_3.jpg","/media/images/picture1-1.jpg","58E4B7B3FBF895075C820F0F4B6FAF8A833E264281632146310A587A4A431F6B","32552","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/picture1_6.jpg","/media/images/picture1-1.jpg","58E4B7B3FBF895075C820F0F4B6FAF8A833E264281632146310A587A4A431F6B","32552","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/picture1_7.jpg","/media/images/picture1-1.jpg","58E4B7B3FBF895075C820F0F4B6FAF8A833E264281632146310A587A4A431F6B","32552","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/picture1_8.jpg","/media/images/picture1-1.jpg","58E4B7B3FBF895075C820F0F4B6FAF8A833E264281632146310A587A4A431F6B","32552","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/picture1_9.jpg","/media/images/picture1-1.jpg","58E4B7B3FBF895075C820F0F4B6FAF8A833E264281632146310A587A4A431F6B","32552","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/picture1_orig.jpg","/media/images/picture1-1.jpg","58E4B7B3FBF895075C820F0F4B6FAF8A833E264281632146310A587A4A431F6B","32552","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/picture2_orig.png","","365C011075B6AC8266E6E8FA5A7CB2A51DC20C7CD4832030C982565DEA03A645","196182","image","excluded-unreferenced","","","","","False","False","False"
"uploads/9/1/6/0/91600416/picture4_1.png","/media/images/picture4-1.png","B86D4474634961B8467D8D7F9AEFA75874932ED18F93B0407460AC357212BA0B","9395","image","same","","","","","False","True","True"
"uploads/9/1/6/0/91600416/picture4_orig.png","/media/images/picture4-1.png","B86D4474634961B8467D8D7F9AEFA75874932ED18F93B0407460AC357212BA0B","9395","image","deduped","","","","","False","False","True"
"uploads/9/1/6/0/91600416/picture5_1.png","/media/images/picture5-1.png","EA74BA2423AD0C76A9A31B764B7E5D6C19B4471A147DABC0868D69E789326ACD","5467","image","same","","","","","False","True","True"
"uploads/9/1/6/0/91600416/picture5_orig.png","/media/images/picture5-1.png","EA74BA2423AD0C76A9A31B764B7E5D6C19B4471A147DABC0868D69E789326ACD","5467","image","deduped","","","","","False","False","True"
"uploads/9/1/6/0/91600416/picture6_1.png","/media/images/picture6-1.png","51E362F679D8CCF94AF05DEEECDB49A8F0BB533B95B5C92672367B316A21AFC5","11423","image","same","","","","","False","True","True"
